Location,date,total_cases,total_deaths,DeathPercentage
"United States",2020-05-01,1115946,68140,6.1060
"United States",2020-05-02,1143296,69871,6.1114
"United States",2020-05-03,1167593,71061,6.0861
"United States",2020-05-04,1191678,72440,6.0788
"United States",2020-05-05,1216209,74682,6.1406
"United States",2020-05-06,1240769,76996,6.2055
"United States",2020-05-07,1268180,78925,6.2235
"United States",2020-05-08,1295019,80688,6.2306
"United States",2020-05-09,1320155,82156,6.2232
"United States",2020-05-10,1339022,83134,6.2086
